TF,OPEN,CLOSE,HIGHEST,LOWEST
1,135.95,140.95,145.2,135
2,137,135.25,137.65,134.8
3,136.2,133.2,138.2,132.85
4,134.5,135.2,137.4,133.1
5,138.35,134.95,139.6,132.85
6,140.7,136.95,145.85,133.5
7,120.9,140.25,142.5,116.65
8,136.75,124.25,138.8,123
9,141.8,136.75,142.4,135.65
10,144.15,141.1,147.25,140.05
11,141.35,143.7,144.4,139.65
12,145.2,140.5,145.7,140
13,144.9,145.05,148.4,143.8
14,149.4,145.55,149.5,144.65
15,148.1,148.7,149.4,147.95
16,148,147.4,151.4,146.55
17,146,146.75,150.25,140.8
18,152.85,147.4,153.4,145.5
19,152.9,151.6,156.65,151
20,154.3,152.3,156.4,151.75
21,153.7,153.2,156.4,152.7
22,154.1,152.2,155.85,149.2
23,158.85,154.2,160.4,153.4
24,159.65,158.5,160.75,157.15
25,156,158.65,164.35,154.35
26,159.75,155.45,161.4,155
27,156.3,158.9,161.5,154.9
28,153.4,154.3,157.4,145.5
29,132,153.45,156.3,127.65
30,150.65,132.95,151.05,130.2
31,162,153.7,162,149.15
32,164.4,161.95,164.4,160.7
33,164.5,162.5,165.9,159.65
34,161.4,160.9,164.2,152.1
35,170.15,160.55,170.2,160
36,172.7,168.95,175,167.1
37,180,169.9,183.25,168.2
38,167.85,175.15,176.8,166
39,171.4,166.65,172.15,164.15
40,177.3,170.85,178.3,169.3
41,174.75,173.85,178.3,171.5
42,165,171.9,173.3,151
43,185.8,161.3,192.8,158.75
44,167,176.25,176.25,166.05
45,149.5,160.25,160.85,149.2
46,153,146.25,155,136.3
47,138,149.1,150.7,133.05
48,138.6,141.85,146.8,136.15
49,116.7,130.1,134.75,116.7
50,109,113.4,114,108.85
51,104.7,106.85,109.3,104.25
52,100.45,103.05,103.5,99.55
53,100.9,100.1,102.2,99.9
54,101.35,99.95,101.7,99.6
55,101.95,100.75,102.45,99.9
56,101.7,101.3,103.6,100.9
57,100.2,100.9,101.95,99
58,101,100,101.65,97.8
59,100,100.4,102.4,99.4
60,96.7,99.35,100.5,96.5
61,97.25,96.45,98.6,96.05
62,98,96.7,98.9,96.2
63,98.5,97.4,99.3,96.55
64,101,97.75,101.9,96.65
65,90.9,98.85,99.8,87.1
66,102.2,92.45,104.1,91.3
67,94.95,100.1,101.5,94.5
68,95.9,94.35,96.35,91.25
69,95,94.7,100.8,94.1
70,84.95,92.65,96.2,84.8
71,84,83.5,85.4,83.1
72,84.45,83.05,86.5,82.05
73,77,82.2,83.35,76.8
74,76.1,76.6,77.65,75.6
75,75,76.05,76.65,74.6
76,76.5,75.8,76.55,75.6
77,77,76.15,77.2,75.8
78,78,76.4,78.15,76.15
79,74.95,75.4,77.25,74.8
80,75.45,74.65,75.45,74.15
81,76,75.3,76.35,75
82,76.45,75.6,76.75,75.25
83,76.85,76.1,77.5,75.9
84,76.8,76.5,77.4,76.35
85,77.3,76.7,78.1,75.5
